Users,TotalCost,Throughput,TotalCores,ResponseTime,SelectedRate_Station2,SelectedRate_Station3,Status
10.0,5.0,5.0,5.0,2.0,1,1,OPTIMAL
12.8,6.4,6.4,6.4,2.0,1,1,OPTIMAL
21.2,10.6,10.6,10.6,2.0,1,1,OPTIMAL
35.0,17.5,17.5,17.5,2.0,1,1,OPTIMAL
54.2,27.1,27.1,27.1,2.0,1,1,OPTIMAL
78.5,134.572,44.857,33.643,1.75,2,1,OPTIMAL
107.7,359.0,71.8,35.9,1.5,2,2,OPTIMAL
141.3,471.0,94.2,47.1,1.5,2,2,OPTIMAL
179.0,596.667,119.333,59.667,1.5,2,2,OPTIMAL
220.5,735.0,147.0,73.5,1.5,2,2,OPTIMAL
265.1,883.667,176.733,88.367,1.5,2,2,OPTIMAL
312.5,1041.667,208.333,104.167,1.5,2,2,OPTIMAL
362.1,1207.0,241.4,120.7,1.5,2,2,OPTIMAL
413.3,1377.667,275.533,137.767,1.5,2,2,OPTIMAL
465.5,1551.667,310.333,155.167,1.5,2,2,OPTIMAL
518.2,1727.333,345.467,172.733,1.5,2,2,OPTIMAL
570.7,1902.333,380.467,190.233,1.5,2,2,OPTIMAL
622.5,2075.0,415.0,207.5,1.5,2,2,OPTIMAL
672.9,2243.0,448.6,224.3,1.5,2,2,OPTIMAL
721.5,2405.0,481.0,240.5,1.5,2,2,OPTIMAL
767.6,2558.666,511.733,255.867,1.5,2,2,OPTIMAL
810.7,2702.333,540.467,270.233,1.5,2,2,OPTIMAL
850.3,9276.0,618.4,231.9,1.375,2,3,OPTIMAL
886.1,9666.545,644.436,241.664,1.375,2,3,OPTIMAL
917.5,10009.091,667.273,250.227,1.375,3,2,OPTIMAL
944.2,10300.364,686.691,257.509,1.375,3,2,OPTIMAL
966.0,10538.179,702.545,263.454,1.375,3,2,OPTIMAL
982.6,10719.273,714.618,267.982,1.375,3,2,OPTIMAL
993.7,10840.364,722.691,271.009,1.375,3,2,OPTIMAL
999.3,10901.452,726.764,272.536,1.375,2,3,OPTIMAL
999.3,10901.452,726.764,272.536,1.375,2,3,OPTIMAL
993.7,10840.364,722.691,271.009,1.375,3,2,OPTIMAL
982.6,10719.273,714.618,267.982,1.375,3,2,OPTIMAL
966.0,10538.179,702.545,263.454,1.375,3,2,OPTIMAL
944.2,10300.364,686.691,257.509,1.375,3,2,OPTIMAL
917.5,10009.091,667.273,250.227,1.375,3,2,OPTIMAL
886.1,9666.545,644.436,241.664,1.375,2,3,OPTIMAL
850.3,9276.0,618.4,231.9,1.375,2,3,OPTIMAL
810.7,2702.333,540.467,270.233,1.5,2,2,OPTIMAL
767.6,2558.666,511.733,255.867,1.5,2,2,OPTIMAL
721.5,2405.0,481.0,240.5,1.5,2,2,OPTIMAL
672.9,2243.0,448.6,224.3,1.5,2,2,OPTIMAL
622.5,2075.0,415.0,207.5,1.5,2,2,OPTIMAL
570.7,1902.333,380.467,190.233,1.5,2,2,OPTIMAL
518.2,1727.333,345.467,172.733,1.5,2,2,OPTIMAL
465.5,1551.667,310.333,155.167,1.5,2,2,OPTIMAL
413.3,1377.667,275.533,137.767,1.5,2,2,OPTIMAL
362.1,1207.0,241.4,120.7,1.5,2,2,OPTIMAL
312.5,1041.667,208.333,104.167,1.5,2,2,OPTIMAL
265.1,883.667,176.733,88.367,1.5,2,2,OPTIMAL
220.5,735.0,147.0,73.5,1.5,2,2,OPTIMAL
179.0,596.667,119.333,59.667,1.5,2,2,OPTIMAL
141.3,471.0,94.2,47.1,1.5,2,2,OPTIMAL
107.7,359.0,71.8,35.9,1.5,2,2,OPTIMAL
78.5,134.572,44.857,33.643,1.75,2,1,OPTIMAL
54.2,27.1,27.1,27.1,2.0,1,1,OPTIMAL
35.0,17.5,17.5,17.5,2.0,1,1,OPTIMAL
21.2,10.6,10.6,10.6,2.0,1,1,OPTIMAL
12.8,6.4,6.4,6.4,2.0,1,1,OPTIMAL
10.0,5.0,5.0,5.0,2.0,1,1,OPTIMAL
