Users,TotalCost,Throughput,TotalCores,ResponseTime,SelectedRate_Station2,SelectedRate_Station3,Status
10.0,33.333,6.667,3.333,1.5,2,2,OPTIMAL
12.8,42.667,8.533,4.267,1.5,2,2,OPTIMAL
21.2,70.667,14.133,7.067,1.5,2,2,OPTIMAL
35.0,116.666,23.333,11.667,1.5,2,2,OPTIMAL
54.2,591.273,39.418,14.782,1.375,3,2,OPTIMAL
78.5,1569.993,62.8,15.7,1.25,3,3,OPTIMAL
107.7,2154.0,86.16,21.54,1.25,3,3,OPTIMAL
141.3,2826.0,113.04,28.26,1.25,3,3,OPTIMAL
179.0,3580.0,143.2,35.8,1.25,3,3,OPTIMAL
220.5,4410.0,176.4,44.1,1.25,3,3,OPTIMAL
265.1,5302.0,212.08,53.02,1.25,3,3,OPTIMAL
312.5,6250.0,250.0,62.5,1.25,3,3,OPTIMAL
362.1,7242.0,289.68,72.42,1.25,3,3,OPTIMAL
413.3,8266.0,330.64,82.66,1.25,3,3,OPTIMAL
465.5,9310.0,372.4,93.1,1.25,3,3,OPTIMAL
518.2,10364.0,414.56,103.64,1.25,3,3,OPTIMAL
570.7,11414.0,456.56,114.14,1.25,3,3,OPTIMAL
622.5,12450.0,498.0,124.5,1.25,3,3,OPTIMAL
672.9,13457.999,538.32,134.58,1.25,3,3,OPTIMAL
721.5,45568.421,607.579,113.921,1.188,3,4,OPTIMAL
767.6,48480.0,646.4,121.2,1.188,4,3,OPTIMAL
810.7,51202.11,682.695,128.005,1.187,4,3,OPTIMAL
850.3,53703.158,716.042,134.258,1.188,3,4,OPTIMAL
886.1,55964.21,746.189,139.911,1.187,3,4,OPTIMAL
917.5,57952.917,772.706,144.882,1.187,4,3,OPTIMAL
944.2,59633.684,795.116,149.084,1.188,4,3,OPTIMAL
966.0,107333.333,858.667,107.333,1.125,4,4,OPTIMAL
982.6,109177.778,873.422,109.178,1.125,4,4,OPTIMAL
993.7,110411.111,883.289,110.411,1.125,4,4,OPTIMAL
999.3,111033.333,888.267,111.033,1.125,4,4,OPTIMAL
999.3,111033.333,888.267,111.033,1.125,4,4,OPTIMAL
993.7,110411.111,883.289,110.411,1.125,4,4,OPTIMAL
982.6,109177.778,873.422,109.178,1.125,4,4,OPTIMAL
966.0,107333.333,858.667,107.333,1.125,4,4,OPTIMAL
944.2,59633.684,795.116,149.084,1.188,4,3,OPTIMAL
917.5,57952.917,772.706,144.882,1.187,4,3,OPTIMAL
886.1,55964.21,746.189,139.911,1.187,3,4,OPTIMAL
850.3,53703.158,716.042,134.258,1.188,3,4,OPTIMAL
810.7,51202.11,682.695,128.005,1.187,4,3,OPTIMAL
767.6,48480.0,646.4,121.2,1.188,4,3,OPTIMAL
721.5,45568.421,607.579,113.921,1.188,3,4,OPTIMAL
672.9,13457.999,538.32,134.58,1.25,3,3,OPTIMAL
622.5,12450.0,498.0,124.5,1.25,3,3,OPTIMAL
570.7,11414.0,456.56,114.14,1.25,3,3,OPTIMAL
518.2,10364.0,414.56,103.64,1.25,3,3,OPTIMAL
465.5,9310.0,372.4,93.1,1.25,3,3,OPTIMAL
413.3,8266.0,330.64,82.66,1.25,3,3,OPTIMAL
362.1,7242.0,289.68,72.42,1.25,3,3,OPTIMAL
312.5,6250.0,250.0,62.5,1.25,3,3,OPTIMAL
265.1,5302.0,212.08,53.02,1.25,3,3,OPTIMAL
220.5,4410.0,176.4,44.1,1.25,3,3,OPTIMAL
179.0,3580.0,143.2,35.8,1.25,3,3,OPTIMAL
141.3,2826.0,113.04,28.26,1.25,3,3,OPTIMAL
107.7,2154.0,86.16,21.54,1.25,3,3,OPTIMAL
78.5,1569.993,62.8,15.7,1.25,3,3,OPTIMAL
54.2,591.273,39.418,14.782,1.375,3,2,OPTIMAL
35.0,116.666,23.333,11.667,1.5,2,2,OPTIMAL
21.2,70.667,14.133,7.067,1.5,2,2,OPTIMAL
12.8,42.667,8.533,4.267,1.5,2,2,OPTIMAL
10.0,33.333,6.667,3.333,1.5,2,2,OPTIMAL
